"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","CRS_DEP_TIME","DEP_TIME","DEP_DEL15","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME","DIV_AIRPORT_LANDINGS","DIV_REACHED_DEST","DIV_ARR_DELAY",
2016,1,1,6,3,2016-01-06,"AA","43",11298,11433,"1100","1057",0.00,"1432",0.00,0.00,155.00,132.00,986.00,,,,,,"",,,0,,,
2016,1,1,7,4,2016-01-07,"AA","43",11298,11433,"1100","1056",0.00,"1426",0.00,0.00,150.00,126.00,986.00,,,,,,"",,,0,,,
2016,1,1,8,5,2016-01-08,"AA","43",11298,11433,"1100","1055",0.00,"1445",7.00,0.00,170.00,135.00,986.00,,,,,,"",,,0,,,
2016,1,1,9,6,2016-01-09,"AA","43",11298,11433,"1100","1102",0.00,"1433",0.00,0.00,151.00,129.00,986.00,,,,,,"",,,0,,,
2016,1,1,10,7,2016-01-10,"AA","43",11298,11433,"1100","1240",1.00,"1631",113.00,1.00,171.00,137.00,986.00,0.00,0.00,47.00,0.00,66.00,"",,,0,,,
2016,1,1,11,1,2016-01-11,"AA","43",11298,11433,"1100","1107",0.00,"1435",0.00,0.00,148.00,128.00,986.00,,,,,,"",,,0,,,
2016,1,1,12,2,2016-01-12,"AA","43",11298,11433,"1100","1059",0.00,"1438",0.00,0.00,159.00,136.00,986.00,,,,,,"",,,0,,,
2016,1,1,13,3,2016-01-13,"AA","43",11298,11433,"1100","1055",0.00,"1431",0.00,0.00,156.00,132.00,986.00,,,,,,"",,,0,,,
2016,1,1,14,4,2016-01-14,"AA","43",11298,11433,"1100","1058",0.00,"1428",0.00,0.00,150.00,130.00,986.00,,,,,,"",,,0,,,
2016,1,1,15,5,2016-01-15,"AA","43",11298,11433,"1100","1056",0.00,"1434",0.00,0.00,158.00,133.00,986.00,,,,,,"",,,0,,,
2016,1,1,16,6,2016-01-16,"AA","43",11298,11433,"1100","1056",0.00,"1423",0.00,0.00,147.00,118.00,986.00,,,,,,"",,,0,,,
2016,1,1,17,7,2016-01-17,"AA","43",11298,11433,"1100","1053",0.00,"1435",0.00,0.00,162.00,130.00,986.00,,,,,,"",,,0,,,
2016,1,1,18,1,2016-01-18,"AA","43",11298,11433,"1100","1055",0.00,"1436",0.00,0.00,161.00,138.00,986.00,,,,,,"",,,0,,,
2016,1,1,19,2,2016-01-19,"AA","43",11298,11433,"1100","1114",0.00,"1442",4.00,0.00,148.00,126.00,986.00,,,,,,"",,,0,,,
2016,1,1,20,3,2016-01-20,"AA","43",11298,11433,"1100","1054",0.00,"1442",4.00,0.00,168.00,136.00,986.00,,,,,,"",,,0,,,
2016,1,1,21,4,2016-01-21,"AA","43",11298,11433,"1100","1134",1.00,"1459",21.00,1.00,145.00,123.00,986.00,0.00,21.00,0.00,0.00,0.00,"",,,0,,,
2016,1,1,22,5,2016-01-22,"AA","43",11298,11433,"1100","1055",0.00,"1431",0.00,0.00,156.00,131.00,986.00,,,,,,"",,,0,,,
